,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,
67500,47.6161447,39.46073607,41.16991035,47.61652676,39.46111301,41.17028158,47.61719137,39.46177425,41.17089785,47.61709823,39.46168149,41.17080682,47.61539374,39.45979199,41.16910508,47.61618524,39.46060214,41.17016287,47.61557803,39.45999416,41.16948603,47.61748274,39.4620689,41.17122005,47.61576857,39.4603098,41.16884839,47.6159213,39.46046764,41.16907725
68400,47.57901375,39.42430465,41.14912007,47.57939868,39.42468445,41.14949433,47.58006955,39.42535211,41.15011798,47.57997591,39.42525884,41.15002639,47.57826305,39.42336046,41.14831605,47.57905714,39.424173,41.14937357,47.57844755,39.42356274,41.14869583,47.58036274,39.42564862,41.15044465,47.57864276,39.42388435,41.1480785,47.57879624,39.42404285,41.14830652
69300,47.54492936,39.39042603,41.12113758,47.54531706,39.39080859,41.12151473,47.54599361,39.39148209,41.12214512,47.5458995,39.39138833,41.12205299,47.54417818,39.38948153,41.12033415,47.54497459,39.39029626,41.12139149,47.54436266,39.38968371,41.12071256,47.54628824,39.39178004,41.12247476,47.5445619,39.39000976,41.12010993,47.54471613,39.39016895,41.12033748
70200,47.5109205,39.35660323,41.09257815,47.51131097,39.35698857,41.09295819,47.51199313,39.35766783,41.09359516,47.51189854,39.35757359,41.09350251,47.51016868,39.35565826,41.09177511,47.51096754,39.35647532,41.09283273,47.51035325,39.35586048,41.09215251,47.51228937,39.3579674,41.09392802,47.51055659,39.35619101,41.09156395,47.51071157,39.35635091,41.09179111
71100,47.47699061,39.32284101,41.06350753,47.47738389,39.32322915,41.0638905,47.47807163,39.32391415,41.06453405,47.47797656,39.32381943,41.06444088,47.476238,39.32189541,41.0627047,47.47703944,39.32271494,41.06376298,47.47642278,39.32209778,41.06308142,47.47836976,39.32421563,41.06487063,47.47663126,39.32243393,41.06250893,47.47678699,39.32259452,41.06273574
72000,47.2941708,39.0916829,40.8943397,47.29459872,39.09210262,40.89475035,47.29527834,39.09278124,40.89539053,47.29517861,39.09268208,40.89529347,47.29330333,39.09055943,40.89343925,47.29415246,39.09143064,40.89459123,47.29349933,39.09077912,40.89387422,47.29562316,39.09313072,40.89580112,47.29381494,39.09127318,40.89332681,47.29397946,39.09144326,40.89356755
72900,47.24447424,39.04159112,40.84200526,47.2449068,39.04201551,40.84242081,47.24559159,39.04269928,40.84306621,47.24549114,39.04259938,40.84296837,47.24359817,39.04045857,40.84109558,47.24445464,39.04133718,40.84225675,47.24379673,39.04068087,40.84153488,47.24594276,39.04305532,40.84348676,47.24412203,39.04118539,40.84100016,47.24428811,39.04135702,40.84124237
73800,47.19513435,38.99187238,40.79017762,47.19557153,38.99230142,40.79059803,47.19626151,38.99299036,40.79124865,47.19616032,38.99288973,40.79115003,47.19424982,38.99073091,40.78925886,47.19511355,38.99161685,40.79042899,47.19445086,38.99095576,40.78970225,47.19661885,38.99335276,40.7916786,47.19478553,38.99147035,40.78917952,47.1949532,38.99164355,40.78942324
74700,47.1461422,38.9425168,40.73883596,47.14658397,38.94295046,40.73926117,47.14727915,38.94364459,40.73991702,47.14717724,38.94354322,40.73981764,47.14524934,38.94136655,40.73790827,47.14612027,38.94225975,40.73908714,47.14545282,38.94159389,40.73835554,47.14764252,38.94401318,40.74035587,47.14579655,38.94211823,40.73784417,47.14596582,38.94229301,40.73808942
75600,46.98280702,38.75141983,40.54851423,46.98327407,38.75187719,40.54896115,46.9839658,38.7525666,40.54961484,46.98386032,38.75246184,40.54951232,46.98183178,38.75015261,40.54750951,46.98274001,38.75108673,40.54875499,46.98204417,38.75039303,40.54799242,46.98435813,38.75296613,40.55009056,46.98245348,38.7510061,40.54748258,46.98263101,38.75118995,40.5477418
76500,46.92499039,38.69288745,40.48534337,46.92546281,38.69335021,40.48579586,46.92615993,38.69404487,40.48645451,46.92605361,38.69393926,40.48635111,46.92400405,38.69160858,40.48432634,46.92492147,38.69255202,40.48558377,46.92421989,38.69185257,40.4848152,46.92656042,38.69445287,40.48694277,46.92463877,38.69247574,40.48431365,46.92481819,38.69266146,40.48457486
77400,46.86764741,38.63486039,40.42297338,46.86812515,38.6353285,40.42343141,46.8688277,38.63602852,40.42409506,46.86872054,38.63592207,40.4239908,46.86665014,38.63357023,40.42194429,46.86757664,38.63452285,40.42321335,46.86686934,38.63381767,40.42243878,46.86923604,38.63644461,40.424595,46.8672973,38.63445036,40.42194473,46.86747863,38.63463798,40.42220797
78300,47.36128816,39.08600335,40.75474269,47.36117331,39.08588283,40.75467326,47.36098544,39.08570315,40.75454423,47.36107611,39.08579275,40.75461562,47.36156557,39.08593699,40.75484751,47.36131454,39.08571951,40.75508281,47.36149723,39.08589889,40.75510748,47.3609213,39.08565098,40.75468094,47.36155297,39.08621306,40.75433984,47.36153336,39.08620022,40.75441635
79200,47.14363657,38.79670091,40.46715225,47.14355938,38.79661369,40.46710111,47.14333633,38.79640028,40.46692081,47.14342725,38.79649021,40.46699659,47.14376449,38.79641097,40.46713676,47.14357428,38.79626224,40.46749989,47.14371556,38.79640281,40.46749045,47.14334209,38.79642097,40.4671449,47.14389811,38.7968937,40.46663929,47.14389019,38.79689416,40.46674141
80100,47.13105443,38.78147158,40.43908073,47.13098134,38.7813883,40.43902988,47.13076027,38.78117597,40.43884359,47.13085093,38.78126573,40.43892059,47.13117002,38.78116731,40.43905927,47.1309851,38.78102388,40.43941458,47.13112289,38.78116118,40.43940892,47.13077441,38.78120549,40.43907457,47.13132292,38.78167095,40.43858758,47.131316,38.7816724,40.43868815
81000,47.11964804,38.76752052,40.41320251,47.11957929,38.76744141,40.41315261,47.11936063,38.7672306,40.41296167,47.11945097,38.76732012,40.41303963,47.11975089,38.76720166,40.41317387,47.11957209,38.76706433,40.41352444,47.11970589,38.76719784,40.41352098,47.11938303,38.76726878,40.4131994,47.11992189,38.7677248,40.41272357,47.11991617,38.76772745,40.4128233
81900,47.10937326,38.75480287,40.3893576,47.10930904,38.75472814,40.38930916,47.10909305,38.75451916,40.38911444,47.10918299,38.75460837,40.38919318,47.10946289,38.75446927,40.38932074,47.10929081,38.7543386,40.38966872,47.10942024,38.75446796,40.38966629,47.10912358,38.75456582,40.38935867,47.10965154,38.75501123,40.38888962,47.10964718,38.75501524,40.38898907
82800,46.66591309,38.16050851,39.84854688,46.66591756,38.160495,39.84855057,46.66559549,38.1601919,39.84824435,46.66568414,38.16028005,39.84832491,46.66563995,38.15977378,39.84814837,46.665592,38.15977782,39.84873625,46.66564351,38.1598349,39.8486502,46.66576698,38.16037957,39.84866437,46.66613995,38.16065438,39.84787837,46.66615973,38.16068463,39.8480251
83700,46.63340349,38.12507797,39.79819669,46.63341452,38.12507085,39.7982054,46.63309893,38.12477184,39.79790001,46.63318664,38.12485911,39.79798037,46.63311556,38.12434928,39.79778011,46.63307834,38.12436557,39.79837102,46.63312316,38.12441574,39.79828218,46.63328388,38.12497529,39.79833682,46.63363591,38.12522602,39.79754121,46.63365745,38.12525832,39.79768778
84600,46.60183928,38.09057604,39.74977809,46.601857,38.09057551,39.74979206,46.60154836,38.09028216,39.74948824,46.6016351,38.09036852,39.74956831,46.60153434,38.08983078,39.74934335,46.60150824,38.08985917,39.749938,46.60154605,38.08990227,39.74984574,46.60174599,38.09049936,39.74994006,46.60207567,38.09072634,39.74913193,46.60209912,38.09076067,39.74927864
85500,46.57119584,38.05712675,39.70311583,46.5712204,38.05713295,39.70313531,46.57091902,38.0568462,39.70283423,46.57100474,38.05693162,39.70291384,46.57087198,38.05634524,39.70266313,46.57085659,38.05638472,39.70326898,46.57088728,38.05642077,39.70317133,46.57112852,38.05707577,39.7033021,46.57143595,38.05727965,39.70246553,46.57146129,38.05731593,39.70261419
86400,47.03480038,38.61356161,40.1789982,47.03481382,38.61355821,40.17900616,47.03461155,38.61335843,40.17879059,47.03469183,38.61343908,40.17886571,47.03463399,38.61289386,40.17873255,47.03458949,38.61288839,40.17920335,47.03463122,38.61293672,40.17913953,47.03476674,38.61352871,40.17918183,47.03508099,38.61376675,40.17852471,47.03509998,38.61379353,40.17864431
