,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,
16200,48.56820668,40.5408192,41.65170917,48.56827488,40.54088333,41.65177729,48.56847639,40.54107809,41.65192851,48.56843621,40.54103842,41.65188994,48.56781266,40.54028563,41.65127087,48.56810997,40.54060191,41.65189362,48.56786877,40.540361,41.65157536,48.56857089,40.54118314,41.65213112,48.56810304,40.54067919,41.65100421,48.56810104,40.54068192,41.65108489
17100,48.6140742,40.58788925,41.70550178,48.61414717,40.587958,41.70557396,48.61435499,40.58815912,41.70573144,48.6143141,40.58811876,41.70569221,48.61367417,40.58735074,41.70505911,48.61397879,40.58767415,41.70568747,48.61373227,40.58742804,41.70536458,48.61445276,40.58826712,41.7059355,48.61396665,40.58774499,41.70479087,48.61396704,40.58775008,41.70487353
18000,48.45147768,40.4093749,41.4918373,48.45154304,40.40943589,41.49190299,48.45173308,40.40961993,41.49203908,48.45169302,40.40958036,41.49200068,48.45104894,40.40878253,41.49136412,48.45134859,40.40910597,41.49204748,48.45110872,40.40886585,41.49172124,48.45184299,40.40974252,41.49229174,48.45138585,40.40924029,41.49108097,48.45138011,40.40924035,41.49116795
18900,48.47050013,40.4298941,41.51941058,48.47056899,40.42995848,41.51947913,48.47076644,40.4301499,41.51962223,48.47072574,40.4301097,41.51958325,48.47006972,40.42930116,41.51893656,48.47037484,40.42963004,41.51962415,48.47013094,40.42938591,41.51929416,48.47087817,40.43027406,41.51987426,48.47040645,40.42975692,41.51864667,48.47040249,40.42975878,41.51873533
19800,48.48910957,40.44990295,41.54630417,48.48918187,40.44997067,41.54637553,48.48938678,40.45016952,41.54652571,48.48934545,40.4501287,41.54648614,48.48867765,40.4493096,41.54582942,48.48898819,40.44964388,41.54652123,48.48874029,40.44939576,41.54618752,48.48950026,40.45029519,41.54677712,48.48901412,40.44976331,41.54553299,48.48901192,40.44976695,41.54562331
20700,48.50725959,40.46937351,41.5724781,48.50733532,40.46944454,41.57255229,48.50754783,40.46965093,41.57270968,48.50750586,40.46960947,41.57266953,48.50682664,40.46877989,41.57200305,48.50714268,40.46911957,41.57269917,48.50689073,40.46886747,41.5723617,48.50766307,40.4697781,41.57296057,48.50716231,40.46923148,41.57169982,48.5071619,40.4692369,41.57179181
21600,48.68401422,40.65166925,41.76131356,48.68412366,40.65177287,41.76141606,48.68435235,40.65199547,41.76159194,48.68430644,40.6519502,41.76154827,48.6835168,40.65102465,41.7607886,48.68388263,40.65141034,41.76150215,48.68359408,40.65112308,41.76113713,48.68449402,40.65214654,41.76184795,48.68388077,40.65149429,41.76052811,48.68389671,40.65151514,41.76063002
22500,48.72611916,40.69442119,41.80872833,48.72623361,40.69452975,41.80883533,48.72646935,40.69475942,41.80901812,48.72642265,40.69471336,41.8089737,48.7256155,40.69377093,41.80819809,48.72598929,40.69416452,41.80891846,48.72569496,40.69387152,41.80854808,48.7266145,40.69491378,41.80927617,48.72598156,40.69424174,41.80793639,48.72600002,40.6942651,41.80804056
23400,48.76776165,40.73667472,41.85552351,48.76788112,40.73678823,41.85563502,48.7681239,40.73702494,41.85582475,48.76807641,40.7369781,41.85577956,48.76725178,40.7360188,41.85498798,48.7676335,40.73642027,41.85571517,48.76733342,40.73612154,41.85533945,48.76827251,40.73718263,41.85608489,48.76761995,40.73649085,41.85472529,48.76764091,40.73651671,41.8548317
24300,48.80894334,40.77843334,41.90170477,48.80906781,40.7785518,41.9018208,48.80931762,40.77879555,41.90201746,48.80926934,40.77874792,41.90197151,48.80842728,40.77777176,41.90116392,48.80881691,40.77818109,41.90189796,48.80851109,40.77787664,41.90151689,48.80946972,40.77895656,41.90227978,48.80879759,40.77824511,41.90090048,48.80882104,40.77827347,41.90100912
