,1,,,,2,,,,3,,,
86400,0,47.03536961,38.61401324,40.17830687,0,47.03483626,38.61356638,40.17896671,0,47.0196413,38.60040769,40.19154831
87300,0,46.38618334,37.9636846,39.64431006,0,46.38648605,37.96428733,39.64453787,0,46.40246147,37.980882,39.67769251
88200,0,46.42278462,37.99908544,39.65772173,0,46.42311314,37.99971328,39.65797468,0,46.44025878,38.01753066,39.69296175
89100,0,46.45986178,38.03498381,39.67367446,0,46.46021664,38.03563738,39.67395288,0,46.4785141,38.0546555,39.71065427
90000,0,46.49729582,38.07126083,39.69175671,0,46.4976776,38.07194074,39.6920611,0,46.51713033,38.09216228,39.73043447
90900,0,47.38943981,39.21457551,40.19065564,0,47.38996356,39.21512359,40.19100549,0,47.41898419,39.24480699,40.24136075
91800,0,47.4578567,39.28245209,40.23808839,0,47.45841163,39.28303156,40.23846629,0,47.48826936,39.31357758,40.2899308
92700,0,47.5265475,39.3505949,40.2868069,0,47.52713377,39.35120588,40.28721304,0,47.55781683,39.38260172,40.33975448
93600,0,47.59542548,39.41891859,40.33665559,0,47.59604356,39.41956184,40.33709043,0,47.62753986,39.45179452,40.39067565
94500,0,48.34225755,40.19153821,41.10772302,0,48.34289005,40.19219707,41.10820558,0,48.3785083,40.22846795,41.16633901
95400,0,48.44359864,40.29305699,41.2030464,0,48.44425882,40.2937433,41.20355543,0,48.48068954,40.33084816,41.26269708
96300,0,48.54475223,40.39437656,41.29857461,0,48.54544015,40.39509036,41.29911017,0,48.58267044,40.43301546,41.35923208
97200,0,48.64568977,40.49546882,41.39424857,0,48.64640548,40.49621018,41.39481075,0,48.68442404,40.53494342,41.45588826
98100,0,48.72598283,40.57632711,41.42902243,0,48.72671809,40.57708847,41.42960422,0,48.76578514,40.61691399,41.49237367
99000,0,48.82597589,40.6764265,41.52429944,0,48.82673866,40.67721514,41.52490761,0,48.86659472,40.71784853,41.58861934
99900,0,48.92569782,40.77624576,41.61960143,0,48.92648818,40.77706175,41.62023607,0,48.96712456,40.81849363,41.68487115
100800,0,49.02513352,40.87577017,41.71489305,0,49.02595154,40.87661358,41.71555424,0,49.06736033,40.91883539,41.78109554
101700,0,50.26063638,42.159416,43.09562502,0,50.26139447,42.16018054,43.09628612,0,50.30723885,42.20651624,43.1661391
102600,0,48.52137378,40.49265818,41.59671958,0,48.52170024,40.49301776,41.59698148,0,48.54088364,40.51337101,41.64069834
103500,0,48.56756978,40.54012476,41.65107851,0,48.56791231,40.54050037,41.65135498,0,48.58776795,40.56152516,41.6956963
104400,0,48.61341498,40.58717327,41.70485167,0,48.61377336,40.58756471,41.70514256,0,48.63429689,40.6092562,41.75010761
105300,0,48.45084936,40.40867797,41.4912131,0,48.45116867,40.40904178,41.49146266,0,48.4689017,40.42815117,41.53442261
106200,0,48.46985529,40.42918122,41.51877231,0,48.47018803,40.42955871,41.51903375,0,48.48835196,40.44910431,41.56239941
107100,0,48.4884483,40.44917418,41.54565185,0,48.48879454,40.44956542,41.54592527,0,48.50738762,40.46954625,41.5896969
108000,0,48.50658186,40.46862885,41.57181163,0,48.50694158,40.46903389,41.57209704,0,48.52597231,40.48945188,41.61628439
