,1,,,,2,,,,3,,,,,,,
46800,0,48.71641665,40.67947134,41.88906432,0,48.71596873,40.67906564,41.88943143,0,48.7556827,40.72012755,41.95403711,0,48.71570621,40.67873215,41.887864
47700,0,48.71567958,40.67952954,41.89160983,0,48.7152298,40.67912237,41.89197611,0,48.75534355,40.72058161,41.95699526,0,48.71496093,40.67878216,41.89040115
48600,0,48.71410932,40.67870308,41.89323243,0,48.71365742,40.67829416,41.89359763,0,48.75416546,40.72014456,41.95902282,0,48.7133811,40.67794612,41.89201416
49500,0,48.71096932,40.6762286,41.89324583,0,48.71051353,40.67581608,41.89360847,0,48.75186626,40.7185236,41.95985624,0,48.71022333,40.67545357,41.89201033
50400,0,48.76284873,40.74136957,42.01094672,0,48.76240236,40.74096234,42.01126063,0,48.80484926,40.78480006,42.07820222,0,48.76208722,40.74057919,42.00972173
51300,0,48.77116434,40.75058446,42.02402303,0,48.7707169,40.75017645,42.0243357,0,48.81349143,40.79433271,42.09159323,0,48.77039724,40.74978871,42.0227937
52200,0,48.77880971,40.75907769,42.03625323,0,48.77836111,40.7586688,42.03656448,0,48.82147159,40.8031521,42.10414563,0,48.77803687,40.75827641,42.0350194
53100,0,48.78578078,40.76684489,42.04763735,0,48.78533092,40.766435,42.04794701,0,48.82878631,40.81125459,42.11586023,0,48.78500204,40.76603792,42.04639889
54000,0,48.06514629,39.86862315,41.51969134,1,48.7707169,40.75017645,41.5205576,1,48.81349143,40.79433271,41.59212318,1,48.77803687,40.75827641,41.51821848
54900,0,48.00901412,39.81243977,41.47380591,1,48.77836111,40.7586688,41.4746793,1,48.82147159,40.8031521,41.54676144,1,48.78500204,40.76603792,41.47232189
55800,1,48.78578078,40.76684489,41.42729716,1,48.78533092,40.766435,41.42818014,1,48.82878631,40.81125459,41.50076001,0,47.95195423,39.75527859,41.4258008
56700,1,48.06514629,39.86862315,41.38012802,0,47.89676451,39.70009576,41.3809823,0,47.94886232,39.75370957,41.45418693,0,47.89594188,39.69918379,41.37863498
