,1,,,,2,,,,3,,,,4,,,
48600,0,48.71311011,40.67778745,41.8931542,0,48.71265293,40.67724786,41.89271387,0,48.71365742,40.67829416,41.89359763,0,48.7518004,40.71740084,41.95665653
49500,0,48.70994319,40.67528593,41.89314303,0,48.70947144,40.6747316,41.89268871,0,48.71051353,40.67581608,41.89360847,0,48.74945792,40.7157361,41.95744743
50400,0,48.76177231,40.74036948,42.01073326,0,48.76128763,40.73980695,42.01026134,0,48.76240236,40.74096234,42.01126063,0,48.80243473,40.78204028,42.07576885
51300,0,48.7700773,40.74957393,42.0237982,0,48.76958759,40.74900662,42.02332126,0,48.7707169,40.75017645,42.0243357,0,48.81106245,40.79155908,42.08914539
52200,0,48.77771178,40.75805641,42.03601667,0,48.77721691,40.7574842,42.03553461,0,48.77836111,40.7586688,42.03656448,0,48.81902772,40.80036419,42.10168292
53100,0,48.78467167,40.76581256,42.04738874,0,48.78417151,40.76523529,42.04690141,0,48.78533092,40.766435,42.04794701,0,48.82632703,40.80845189,42.11338219
54000,0,48.06427212,39.8678439,41.51996225,0,48.06359691,39.86700416,41.51933328,0,48.0649751,39.86851016,41.5205576,0,48.11274324,39.9173929,41.58951782
54900,0,48.00813468,39.81165437,41.47407396,0,48.00744966,39.81080412,41.47343296,0,48.0088459,39.81232914,41.4746793,0,48.05712508,39.86172459,41.5441279
55800,0,47.95206188,39.75551244,41.42756519,0,47.95136717,39.75465186,41.42691256,0,47.95278122,39.75619556,41.42818014,0,48.0015644,39.80609696,41.49809882
56700,0,47.8960365,39.69940378,41.38035596,0,47.89533147,39.6985323,41.37968966,0,47.89676451,39.70009576,41.3809823,0,47.94608976,39.7505401,41.45149635
57600,0,47.95430535,39.76282747,41.42106772,0,47.95361351,39.76197501,41.42040582,0,47.95504923,39.76353774,41.42171259,0,48.00424479,39.81386958,41.49260007
58500,0,47.90700447,39.71551764,41.38260911,0,47.90630331,39.71465552,41.38193561,0,47.90775663,39.71623639,41.38326461,0,47.95747472,39.76709146,41.45467703
59400,0,47.85973429,39.66822509,41.34328525,0,47.8590237,39.66735322,41.34259989,0,47.86049481,39.66895238,41.34395162,0,47.91076703,39.72036151,41.41599905
60300,0,47.81253693,39.62099325,41.30322503,0,47.81181702,39.62011175,41.30252823,0,47.8133057,39.62172896,41.30390185,0,47.86412265,39.67368302,41.37655475
61200,0,47.80436365,39.62448741,41.2975151,0,47.8036514,39.62362604,41.29682136,0,47.80514364,39.62523657,41.29820603,0,47.85630506,39.67753708,41.37137624
62100,0,47.76097006,39.58115635,41.26161077,0,47.76024944,39.58028645,41.26090709,0,47.7617581,39.58191375,41.2623118,0,47.81345859,39.63475382,41.33605977
63000,0,47.71767428,39.53790779,41.22503694,0,47.71694535,39.53702939,41.22432354,0,47.7184703,39.53867334,41.2257478,0,47.77070682,39.59205012,41.30006198
63900,0,47.67449503,39.49476151,41.18787742,0,47.67375767,39.4938745,41.18715411,0,47.67529913,39.49553533,41.18859825,0,47.72807505,39.54945272,41.26348334
