,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,,,13,,,14,,,15,,,16,,,17,,,18,,,19,,,20,,,21,,
8100,48.44427307,40.29382791,41.20367169,48.44359864,40.29305699,41.2030464,48.44425882,40.2937433,41.20355543,48.44425882,40.2937433,41.20355543,48.44308585,40.29215019,41.20238027,48.47764797,40.32732626,41.2600094,48.47906125,40.32905237,41.26187433,48.48102516,40.33119366,41.26326638,48.48068954,40.33084816,41.26269708,48.44561328,40.29508549,41.20437369,48.44500516,40.29445927,41.20333682,48.42506231,40.274313,41.18450822,48.42480766,40.27402843,41.18442562,48.42502742,40.27424225,41.18462241,48.42447165,40.27372062,41.18439156,48.44569664,40.29523461,41.20495182,48.44617515,40.29570005,41.2053804,48.44663434,40.29625277,41.20582694,48.35531324,40.20307696,41.053701,48.44599811,40.29557701,41.20488881,48.44611852,40.29570101,41.20509477
9000,48.54544194,40.39516266,41.29921614,48.54475223,40.39437656,41.29857461,48.54544015,40.39509036,41.29911017,48.54544015,40.39509036,41.29911017,48.54424537,40.39347428,41.29790988,48.5795864,40.42945051,41.35651018,48.58104054,40.43121965,41.3584316,48.58302723,40.43338284,41.35983651,48.58267044,40.43301546,41.35923208,48.54679316,40.39642983,41.29990044,48.54615999,40.3957777,41.29882481,48.52582917,40.37523923,41.27957763,48.52557568,40.37495612,41.27950178,48.52580036,40.37517492,41.27970391,48.5252412,40.37465058,41.27948301,48.54690475,40.3966086,41.30053698,48.54739651,40.39708731,41.30097934,48.54786765,40.39765238,41.3014386,48.45446174,40.30233553,41.14669255,48.54720842,40.39695306,41.30046733,48.54733189,40.39708022,41.30067738
9900,48.64639468,40.49627002,41.39490617,48.64568977,40.49546882,41.39424857,48.64640548,40.49621018,41.39481075,48.64640548,40.49621018,41.39481075,48.64518914,40.49457145,41.39358581,48.68129732,40.53133528,41.45313156,48.68279146,40.53314647,41.45510758,48.68480132,40.53533196,41.45652629,48.68442404,40.53494342,41.45588826,48.64775824,40.49754816,41.39557573,48.64710075,40.49687089,41.39446297,48.62638495,40.4759433,41.37480293,48.62613234,40.47566135,41.3747332,48.62636191,40.47588508,41.37494061,48.62579872,40.47535737,41.37472823,48.64789659,40.49775505,41.39626741,48.64840156,40.49824699,41.39672344,48.64888457,40.49882431,41.3971953,48.55342766,40.40140248,41.23990334,48.64820289,40.49810201,41.3961921,48.64832937,40.49823229,41.39640612
10800,48.72669386,40.57713359,41.42968735,48.72598283,40.57632711,41.42902243,48.72671809,40.57708847,41.42960422,48.72671809,40.57708847,41.42960422,48.72549469,40.57544432,41.42836958,48.7626566,40.61330702,41.48962463,48.76417625,40.61514362,41.49163877,48.76618193,40.61732272,41.49304505,48.76578514,40.61691399,41.49237367,48.72804727,40.57840115,41.43031796,48.72737036,40.57770377,41.42917449,48.70631521,40.55643708,41.40916784,48.70606829,40.55616135,41.40910878,48.70629992,40.55638731,41.40931874,48.70574232,40.55586542,41.40912489,48.72821772,40.57864104,41.4310724,48.72873021,40.57914075,41.43153659,48.7292198,40.57972441,41.4320156,48.63100464,40.47942519,41.27021857,48.72852181,40.57898552,41.43098765,48.72864995,40.57911752,41.43120363
11700,48.82670179,40.67724775,41.52497994,48.82597589,40.6764265,41.52429944,48.82673866,40.67721514,41.52490761,48.82673866,40.67721514,41.52490761,48.82549433,40.67554916,41.52364936,48.86342354,40.71419856,41.58583457,48.86498131,40.71607508,41.58789952,48.86701057,40.71827696,41.58932124,48.86659472,40.71784853,41.58861934,48.82806966,40.67852851,41.52560123,48.82736993,40.67780755,41.52442384,48.80593183,40.6561538,41.50400936,48.80568531,40.65587873,41.50395526,48.80592171,40.65610951,41.50417032,48.80535905,40.65558317,41.5039824,48.82826405,40.6787936,41.52640446,48.8287895,40.6793063,41.526882,48.82929074,40.67990192,41.52737327,48.72902697,40.57750295,41.36307711,48.8285715,40.67914129,41.52631584,48.82870252,40.67927626,41.52653555
12600,48.92643852,40.77708171,41.6202974,48.92569782,40.77624576,41.61960143,48.92648818,40.77706175,41.62023607,48.92648818,40.77706175,41.62023607,48.92522309,40.77537419,41.61895457,48.96391067,40.81480065,41.68205031,48.96550597,40.81671641,41.68416474,48.96755901,40.81894128,41.68560251,48.96712456,40.81849363,41.68487115,48.92782173,40.77837656,41.62091142,48.92709966,40.77763254,41.61970124,48.90528112,40.75559435,41.59888342,48.90503483,40.75531976,41.59883384,48.90527597,40.75555534,41.59905395,48.90470783,40.75502411,41.59887099,48.92803909,40.77866587,41.62176118,48.92857748,40.77919152,41.622252,48.92909032,40.77979904,41.62275542,48.82680321,40.67532754,41.45601602,48.92835018,40.77901704,41.62166938,48.92848406,40.77915496,41.62189271
13500,49.02588898,40.87662077,41.71560437,49.02513352,40.87577017,41.71489305,49.02595154,40.87661358,41.71555424,49.02595154,40.87661358,41.71555424,49.02466588,40.87490468,41.71424982,49.06410371,40.91509941,41.77823832,49.065736,40.9170538,41.78040102,49.06781299,40.91930183,41.78185539,49.06736033,40.91883539,41.78109554,49.02728827,40.8779305,41.71621296,49.02654429,40.87716387,41.71497101,49.00434772,40.85474373,41.69375399,49.00410149,40.85446946,41.69370855,49.00434737,40.85470981,41.69393367,49.00377339,40.85417332,41.69375478,49.02752777,40.87824315,41.71710723,49.02807907,40.87878173,41.71761126,49.02860347,40.87940109,41.71812675,48.92431587,40.77288175,41.54899446,49.02784276,40.87859807,41.71701286,49.02797945,40.87873889,41.71723974
14400,50.26122875,42.1600679,43.09620143,50.26063638,42.159416,43.09562502,50.26139447,42.16018054,43.09628612,50.26139447,42.16018054,43.09628612,50.26044421,42.15903192,43.09531052,50.30493039,42.20396502,43.1640969,50.3062628,42.20543186,43.16581289,50.30768505,42.20696971,43.16683753,50.30723885,42.20651624,43.1661391,50.26220663,42.16099242,43.09658137,50.26153888,42.16031342,43.09555425,50.23566978,42.13407635,43.07023028,50.23553523,42.13392514,43.07024005,50.23573127,42.13411795,43.07042662,50.23534321,42.13375205,43.07033373,50.26257299,42.1614047,43.0974798,50.26302396,42.16184761,43.09790765,50.26343299,42.16229492,43.09831547,50.14609578,42.04357811,42.91666443,50.26276725,42.16160247,43.09739143,50.26287767,42.16171477,43.09755759
15300,48.52147799,40.49283363,41.59683762,48.52137378,40.49265818,41.59671958,48.52170024,40.49301776,41.59698148,48.52170024,40.49301776,41.59698148,48.52140136,40.49248679,41.59661695,48.5402863,40.51249577,41.6403032,48.54076618,40.5131476,41.64122653,48.54111754,40.51361937,41.64122166,48.54088364,40.51337101,41.64069834,48.52189492,40.49320152,41.59662809,48.52160848,40.4928942,41.59594965,50.37324296,42.27233138,43.21198668,50.37310826,42.27218011,43.21199659,50.37330643,42.27237506,43.21218532,50.3729146,42.27200556,43.21209003,48.52205548,40.49342159,41.59739598,48.52228195,40.4936448,41.5976141,48.52240169,40.49381327,41.5977466,50.28243247,42.18056134,43.05711401,48.52212167,40.49349441,41.5971768,48.5222047,40.49358044,41.59731668
16200,48.56768204,40.54030777,41.6512032,48.56756978,40.54012476,41.65107851,48.56791231,40.54050037,41.65135498,48.56791231,40.54050037,41.65135498,48.56760373,40.53996005,41.65098235,48.58714939,40.56063028,41.69528515,48.58764678,40.56129937,41.6962235,48.58801036,40.56178205,41.69622848,48.58776795,40.56152516,41.6956963,48.56810895,40.54068488,41.65099926,48.5678124,40.54036751,41.65031216,48.55703583,40.52915894,41.63939112,48.55704701,40.52915286,41.63954492,48.55717632,40.52928144,41.6396722,48.556995,40.52912097,41.63979787,48.56827963,40.54091535,41.65177944,48.56851274,40.54114505,41.65200351,48.56863855,40.54131951,41.65214137,48.51847314,40.48795915,41.53614798,48.56834877,40.54099103,41.65156322,48.5684329,40.54107815,41.65170387
17100,48.61353506,40.58736364,41.70498284,48.61341498,40.58717327,41.70485167,48.61377336,40.58756471,41.70514256,48.61377336,40.58756471,41.70514256,48.61345534,40.58701529,41.70476203,48.63365764,40.60834216,41.74968071,48.63417225,40.60902831,41.75063376,48.63454772,40.60952157,41.75064849,48.63429689,40.6092562,41.75010761,48.61397167,40.58774974,41.70478446,48.61366515,40.58742245,41.70408882,48.60250375,40.57583542,41.69281081,48.60251456,40.57582924,41.69296468,48.60264608,40.57595994,41.69309389,48.60246096,40.57579602,41.69321731,48.61415239,40.58799053,41.70557672,48.61439203,40.58822663,41.70580667,48.6145238,40.58840695,41.70594978,48.56261871,40.53331026,41.58833452,48.61422444,40.58806902,41.70536344,48.61430966,40.58815722,41.70550486
